#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-05-19T19:16:36 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-05-19T19:16:36	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=I/239/hip_main&-order=I&-out=HIP&-out=RAhms&-out=DEdms&-out=Vmag&-out=RAICRS&-out=DEICRS&-out=Plx&-out=pmRA&-out=pmDE&-out=e_Plx&-out=B-V&-out=Notes&HIPep=HIPep&Erratum=Erratum&-out=_RA.icrs&-out=_DE.icrs&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#INFO	ivoid=ivo://cds.vizier/i/239	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/i/239	    IVOID of underlying data collection
#INFO	creator=ESA 1997	    First author or institution
#INFO	cites=1997HIP...C......0E	    Article or Data origin sources
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/239	    Dataset landing page
#INFO	publication_date=2021-11-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_1991.250:	ICRS
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	_RAJ2000	(F14.10)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F14.10)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	RAhms	(A11)	Right ascension in h m s, ICRS (J1991.25) (H3)	[ucd=pos.eq.ra]
#Column	DEdms	(A11)	Declination in deg ' ", ICRS (J1991.25) (H4)	[ucd=pos.eq.dec]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	RAICRS	(F12.8)	? alpha, degrees (ICRS, Epoch=J1991.25) (H8)	[ucd=pos.eq.ra;meta.main]
#Column	DEICRS	(F12.8)	? delta, degrees (ICRS, Epoch=J1991.25) (H9)	[ucd=pos.eq.dec;meta.main]
#Column	Plx	(F7.2)	? Trigonometric parallax (H11)	[ucd=pos.parallax.trig]
#Column	pmRA	(F8.2)	*? Proper motion mu_alpha.cos(delta), ICRS(H12)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F8.2)	*? Proper motion mu_delta, ICRS (H13)	[ucd=pos.pm;pos.eq.dec]
#Column	e_Plx	(F6.2)	? Standard error in Plx (H16)	[ucd=stat.error;pos.parallax]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	Notes	(A1)	[DGPWXYZ] Existence of notes (H70)	[ucd=meta.note]
#Column	_RA.icrs	(F12.8)	Right ascension (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F12.8)	Declination (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.dec]
_RAJ2000;_DEJ2000;HIP;RAhms;DEdms;Vmag;RAICRS;DEICRS;Plx;pmRA;pmDE;e_Plx;B-V;Notes;_RA.icrs;_DE.icrs
#deg;deg; ; ; ;mag;deg;deg;mas;mas/yr;mas/yr;mas;mag; ;deg;deg
#--------------;--------------;------;-----------;-----------;-----;------------;------------;-------;--------;--------;------;------;-;------------;------------
0             ;             0;     0;          0;          0;     0;           0;           0;      0;       0;       0;     0;     0;             0; +         0
000.0008992088;+01.0890087506;     1;00 00 00.22;+01 05 20.4; 9.10;000.00091185;+01.08901332;   3.54;   -5.20;   -1.88;  1.39; 0.482; ;000.00089921;+01.08900875
000.0042646079;-19.4988397098;     2;00 00 00.91;-19 29 55.8; 9.27;000.00379737;-19.49883745;  21.90;  181.21;   -0.93;  3.10; 0.999; ;000.00426461;-19.49883971
000.0050243058;+38.8592790071;     3;00 00 01.20;+38 51 33.4; 6.61;000.00500795;+38.85928608;   2.81;    5.24;   -2.91;  0.63;-0.019; ;000.00502431;+38.85927901
000.0086292358;-51.8935457309;     4;00 00 02.01;-51 53 36.8; 8.06;000.00838170;-51.89354612;   7.75;   62.85;    0.16;  0.97; 0.370; ;000.00862924;-51.89354573
000.0099734379;-40.5912023549;     5;00 00 02.39;-40 35 28.4; 8.55;000.00996534;-40.59122440;   2.87;    2.53;    9.07;  1.11; 0.902; ;000.00997344;-40.59120235
000.0186927577;+03.9464577215;     6;00 00 04.35;+03 56 47.4;12.31;000.01814144;+03.94648893;  18.80;  226.29;  -12.84;  4.99; 1.336; ;000.01869276;+03.94645772
000.0220104750;+20.0361141279;     7;00 00 05.41;+20 02 11.8; 9.64;000.02254891;+20.03660216;  17.74; -208.12; -200.79;  1.30; 0.740; ;000.02201047;+20.03611413
000.0273431742;+25.8864606930;     8;00 00 06.55;+25 53 11.3; 9.05;000.02729160;+25.88647445;   5.17;   19.09;   -5.66;  1.95; 1.102;P;000.02734317;+25.88646069
000.0353228200;+36.5859582353;     9;00 00 08.48;+36 35 09.4; 8.59;000.03534189;+36.58593777;   4.81;   -6.30;    8.42;  0.99; 1.067; ;000.03532282;+36.58595824
000.0364157245;-50.8669763291;    10;00 00 08.70;-50 52 01.5; 8.59;000.03625309;-50.86707360;  10.76;   42.23;   40.02;  1.10; 0.489; ;000.03641572;-50.86697633
000.0373364290;+46.9399966303;    11;00 00 08.95;+46 56 24.0; 7.34;000.03729695;+46.94000154;   4.29;   11.09;   -2.02;  0.84; 0.081; ;000.03733643;+46.93999663
000.0408995731;-35.9602250631;    12;00 00 09.82;-35 57 36.8; 8.43;000.04091756;-35.96022482;   4.06;   -5.99;   -0.10;  1.16; 1.484; ;000.04089957;-35.96022506
000.0417019456;-22.5947050757;    13;00 00 10.00;-22 35 40.9; 8.80;000.04167970;-22.59468060;   3.49;    8.45;  -10.07;  1.48; 1.128; ;000.04170195;-22.59470508
000.0484219798;-00.3604495546;    14;00 00 11.59;-00 21 37.5; 7.25;000.04827189;-00.36042119;   5.11;   61.75;  -11.67;  0.99; 1.200; ;000.04842198;-00.36044955
000.0503622674;+50.7911871351;    15;00 00 12.07;+50 47 28.2; 8.60;000.05030890;+50.79117384;   2.45;   13.88;    5.47;  1.16; 1.166; ;000.05036227;+50.79118714
000.0509899235;-40.1923925137;    17;00 00 12.26;-40 11 32.4; 8.15;000.05109957;-40.19232842;   6.15;  -34.46;  -26.37;  1.00; 0.425; ;000.05098992;-40.19239251
000.0524968995;-54.9143630497;    16;00 00 12.34;-54 54 50.9;11.71;000.05140852;-54.91412819;   0.53;  257.39;  -96.63;  2.63; 0.421; ;000.05249690;-54.91436305
000.0528292392;-04.0536803313;    18;00 00 12.75;-04 03 13.5;11.03;000.05313923;-04.05373813;  19.93; -127.22;   23.78;  2.36; 1.567; ;000.05282924;-04.05368033
000.0533092167;+38.3040497315;    19;00 00 12.80;+38 18 14.7; 6.53;000.05331696;+38.30408636;   4.12;   -2.50;  -15.07;  0.64; 0.955; ;000.05330922;+38.30404973
